Year,Player,Rookie G,Rookie AB,BA_1,Rookie BA,Rookie SLG,SA_1,Sophomore G,Sophomore AB,BA_2,Sophomore BA,SA_2,Sophomore SLG
1983,Ron Kittle,145,520,254,0.254,0.504,504,139,466,215,0.215,453,0.453
1984,Alvin Davis,152,567,284,0.284,0.497,497,155,578,287,0.287,441,0.441
1985,Ozzie Guillen,150,491,273,0.273,0.358,358,159,547,250,0.25,311,0.311
1986,Jose Canseco,157,600,240,0.24,0.457,457,159,630,257,0.257,470,0.47
1987,Mark McGwire,151,557,289,0.289,0.618,618,155,550,260,0.26,478,0.478
1988,Walt Weiss,147,452,250,0.25,0.321,321,84,236,233,0.233,318,0.318
1990,"Sandy Alomar, Jr.",132,445,290,0.29,0.418,418,51,184,217,0.217,266,0.266
1991,Chuck Knoblauch,151,565,281,0.281,0.35,350,155,600,297,0.297,358,0.358
1992,Pat Listach,149,579,290,0.29,0.349,349,98,356,244,0.244,317,0.317
1993,Tim Salmon,142,515,283,0.283,0.536,536,100,373,287,0.287,531,0.531
1994,Bob Hamelin,101,312,282,0.282,0.599,599,72,208,168,0.168,313,0.313
1995,Marty Cordova,137,512,277,0.277,0.486,486,145,569,309,0.309,478,0.478
1996,Derek Jeter,157,582,314,0.314,0.43,430,159,654,291,0.291,405,0.405
1997,Nomar Garciaparra,153,684,306,0.306,0.534,534,143,604,323,0.323,584,0.584
1998,Ben Grieve,155,583,288,0.288,0.458,458,148,486,265,0.265,481,0.481
1999,Carlos Beltran,156,663,293,0.293,0.454,454,98,372,247,0.247,366,0.366
2001,Ichiro Suzuki,157,692,350,0.35,0.457,457,157,647,321,0.321,425,0.425
2002,Eric Hinske,151,566,279,0.279,0.481,481,124,449,243,0.243,437,0.437
2003,Angel Berroa,158,567,287,0.287,0.451,451,134,512,262,0.262,385,0.385
2004,Bobby Crosby,151,545,239,0.239,0.426,426,84,333,276,0.276,456,0.456
2007,Dustin Pedroia,139,520,317,0.317,0.442,442,157,653,326,0.326,493,0.493
2008,Evan Longoria,122,448,272,0.272,0.531,531,157,584,281,0.281,526,0.526
2012,Mike Trout,139,559,326,0.326,0.564,564,,,,,,
